onDraw Prepare Execute
2.34 0.24 1.81
11.83 0.25 1.67
2.03 0.22 1.69
2.10 0.24 7.07
2.07 0.36 7.22
3.20 0.53 6.29
2.52 0.21 6.64
2.02 0.22 7.01
2.01 0.21 7.36
2.08 0.23 7.46
1.92 0.21 8.34
5.09 0.26 3.62
2.12 0.22 7.30
2.12 0.23 7.36
3.38 0.54 5.68
7.72 0.27 1.87
8.80 0.27 1.74
1.53 0.21 9.47
1.26 2.39 6.92
1.18 0.31 9.83
1.11 0.21 9.56
1.25 0.19 9.86
1.22 0.19 8.63
1.81 0.22 1.93
1.76 0.42 2.12
1.40 0.22 1.85
1.79 0.20 2.86
1.21 0.20 1.86
1.21 0.19 1.93
14.86 0.25 2.92
13.18 0.24 2.63
6.61 0.19 1.79
2.09 0.28 2.27
1.87 0.20 2.34
2.15 0.19 2.26
2.10 0.19 2.46
3.71 0.22 1.66
2.61 0.28 2.99
5.57 0.19 1.68
2.08 0.19 2.29
1.91 0.18 3.29
2.05 0.19 2.16
5.09 0.20 12.05
2.34 0.23 10.64
2.14 0.21 3.12
3.28 0.22 2.92
2.33 0.23 2.50
2.02 0.19 2.54
2.13 0.20 2.13
2.00 0.19 2.50
2.33 0.21 2.16
2.30 0.44 3.69
3.02 0.39 3.59
2.72 0.38 6.33
3.15 0.41 4.77
3.04 0.93 3.51
2.89 0.37 3.37
4.12 0.41 3.42
2.36 0.19 3.11
2.08 0.18 2.73
2.34 0.20 1.86
2.15 0.27 2.61
2.12 0.20 2.62
2.35 0.19 1.81
3.10 0.51 2.95
3.47 0.27 2.91
2.75 0.27 3.05
2.88 0.26 3.66
3.35 0.35 3.99
3.07 0.70 3.20
5.40 0.38 3.22
2.93 0.41 2.85
3.38 0.40 4.45
3.00 0.38 3.78
3.00 0.38 3.43
5.01 0.40 2.91
4.50 0.39 3.17
2.97 0.39 4.56
3.57 0.39 2.85
3.21 0.38 3.01
2.79 0.40 3.28
3.04 0.39 3.13
3.06 0.40 3.06
3.20 0.51 3.15
3.71 0.44 3.60
2.92 0.40 3.12
2.99 0.40 3.30
3.11 0.40 3.01
4.17 0.41 3.14
