onDraw Prepare Execute
3.05 3.94 3.41
2.62 0.51 3.41
3.05 0.38 3.03
3.22 0.54 4.38
3.85 1.47 8.44
4.42 0.19 1.46
3.08 0.21 1.46
4.08 0.20 1.52
4.60 0.43 4.09
2.60 0.21 3.12
2.39 0.23 4.19
2.74 0.23 3.43
2.59 0.22 1.75
2.51 0.19 1.34
2.26 0.19 2.04
2.35 0.32 2.13
2.34 0.19 1.87
3.74 0.35 2.77
6.73 0.35 2.87
3.00 0.28 2.13
5.11 0.70 4.04
5.24 0.59 3.88
41.18 0.25 4.34
8.56 0.23 1.72
1.14 0.34 4.51
1.90 0.45 5.10
2.84 0.41 3.76
1.34 0.23 3.37
1.40 0.24 3.41
1.74 0.22 3.61
1.38 0.25 4.33
1.23 0.23 3.64
1.03 0.22 3.47
1.76 0.23 3.98
50.00 0.80 7.32
50.00 0.29 7.78
12.05 0.26 17.77
1.18 0.84 8.16
1.21 0.20 17.24
1.25 0.24 14.29
1.57 0.80 14.18
1.14 0.20 4.19
1.55 0.25 4.89
1.71 0.29 5.95
1.74 0.21 4.71
2.55 0.64 3.58
1.45 0.22 5.85
1.37 0.23 6.52
1.97 0.24 2.79
1.46 0.21 3.09
1.53 0.20 2.77
1.35 0.28 4.22
1.09 0.18 2.27
1.08 0.19 2.33
1.60 0.23 3.93
1.43 0.26 3.72
1.07 0.23 4.12
8.43 1.07 6.53
27.27 0.35 2.35
14.50 0.27 1.94
3.91 0.28 19.10
3.35 0.21 16.57
9.16 0.28 14.45
4.10 0.22 3.19
4.27 1.11 3.03
4.87 0.34 2.80
4.63 0.30 2.03
4.38 0.34 2.16
4.81 0.31 2.27
4.41 0.29 1.97
3.77 0.27 3.32
2.84 0.25 4.77
2.65 0.25 4.10
4.13 0.40 3.48
5.96 0.45 3.47
4.68 0.73 4.03
3.57 0.44 4.00
3.52 0.45 4.09
4.58 0.45 3.42
3.66 0.43 3.68
4.02 0.43 3.58
3.48 0.74 3.65
3.62 0.71 4.28
3.14 0.48 3.49
3.80 0.43 4.23
4.11 0.78 3.74
3.19 0.58 3.96
3.17 0.43 3.85
3.56 0.43 3.59
3.32 0.68 3.71
3.15 0.43 5.80
3.52 0.43 3.72
6.04 0.43 4.38
3.29 0.68 7.24
3.44 0.43 4.82
3.59 0.44 3.90
3.37 0.43 3.52
3.02 0.89 3.62
3.07 0.42 3.96
3.34 0.44 3.27
3.37 0.44 3.60
3.32 0.62 3.66
4.19 0.59 3.19
3.31 0.48 3.89
3.26 0.46 4.32
3.23 0.63 3.25
3.46 0.67 3.72
3.84 0.48 3.32
3.19 0.63 3.51
3.54 0.44 3.36
3.87 0.44 4.03
3.45 0.44 3.30
3.81 0.42 4.64
3.41 0.45 3.71
3.31 0.43 6.49
4.03 0.55 5.22
5.90 0.72 6.22
6.42 0.67 6.77
4.92 0.83 4.63
6.07 1.03 4.18
6.64 0.64 4.95
8.53 0.70 5.91
6.48 0.65 4.33
4.38 0.57 4.54
8.33 0.68 5.43
5.83 0.66 4.37
4.10 0.45 3.58
4.93 0.60 3.74
5.87 0.59 4.65
4.58 0.73 4.59
8.20 0.68 5.06
4.96 0.56 3.52
5.14 0.66 3.99
7.58 0.66 3.93
4.02 0.69 5.09
6.76 0.65 4.06
5.35 0.56 3.87
5.19 0.85 4.10
5.81 0.63 4.48
5.96 0.56 3.73
5.77 0.65 6.95
6.03 0.74 5.32
10.60 0.43 2.24
1.47 0.25 5.05
1.61 0.26 4.45
1.43 0.21 3.56
1.34 0.21 3.37
1.51 0.25 4.00
1.53 0.25 3.58
1.38 0.25 3.91
1.44 0.37 4.43
2.13 0.23 5.07
37.64 0.76 8.46
50.00 0.75 7.03
38.96 0.25 3.27
2.20 0.24 4.22
2.39 2.55 2.85
2.79 0.23 2.81
2.36 1.02 4.72
2.16 0.91 3.57
2.11 1.26 2.72
2.10 0.22 3.55
2.75 0.29 3.04
2.90 0.31 3.43
2.65 0.30 3.35
4.22 0.34 2.63
3.99 0.44 2.05
2.87 0.29 2.19
2.51 0.23 1.58
2.74 0.44 1.74
2.42 0.25 1.71
2.49 0.21 1.56
2.64 0.61 1.61
4.39 0.22 1.80
1.37 0.19 1.56
2.21 0.25 1.97
1.29 0.48 2.17
1.00 0.26 2.13
4.72 0.44 5.18
12.34 0.34 2.29
4.39 0.29 2.11
5.43 0.29 1.98
4.15 1.39 1.97
4.34 0.30 2.62
4.17 0.32 3.19
4.15 0.34 3.09
4.90 0.32 2.82
4.55 0.30 2.16
8.43 0.60 3.87
9.46 0.87 4.00
7.33 0.58 3.80
7.41 0.56 3.73
6.05 0.53 4.11
3.42 0.49 4.06
4.84 0.73 3.75
3.78 0.46 3.86
4.97 0.80 4.00
4.04 0.47 4.09
2.97 0.72 5.39
3.30 0.45 4.22
3.61 0.45 3.50
3.11 0.48 3.87
3.92 0.60 4.77
3.52 0.45 6.00
4.10 0.69 6.00
4.13 1.16 4.07
3.18 0.44 3.46
3.29 0.64 3.70
3.09 0.44 3.78
3.85 0.47 3.56
3.22 1.12 4.52
3.86 0.50 4.17
4.51 0.46 3.53
3.53 0.47 4.18
3.51 0.64 3.94
3.93 0.68 3.37
6.01 0.45 3.33
4.37 0.45 4.20
4.74 0.45 4.87
4.98 0.67 4.85
4.39 0.78 4.06
4.36 0.47 4.66
3.05 0.94 3.77
3.30 0.45 3.41
3.35 0.46 3.64
2.95 0.65 3.53
4.11 0.44 5.24
4.78 0.48 3.27
5.44 0.58 3.21
4.10 0.45 5.05
4.13 0.44 3.54
4.81 1.06 3.36
4.10 0.44 3.93
3.44 0.44 3.58
4.63 0.42 3.47
5.67 0.87 4.41
4.76 0.99 5.01
4.90 0.58 3.80
5.24 0.63 4.01
4.74 0.68 5.78
9.65 0.59 4.51
5.51 0.59 5.07
3.79 0.54 4.72
5.75 1.09 4.71
6.30 0.64 4.75
4.22 0.66 3.86
5.05 1.35 5.09
5.15 0.66 4.48
5.37 0.58 3.95
8.24 0.82 4.05
4.60 0.57 4.73
7.08 0.80 6.89
4.50 0.97 4.17
5.30 0.73 4.10
4.60 0.68 5.39
8.70 0.83 4.15
5.85 0.58 3.79
5.23 0.73 4.90
9.70 0.60 4.89
5.24 0.54 3.74
7.37 0.84 3.95
5.66 1.28 5.28
3.83 0.56 3.78
11.82 0.34 2.69
2.15 0.24 3.82
1.60 0.23 3.41
1.45 0.22 3.11
1.23 0.20 3.44
1.40 0.25 4.11
1.41 0.25 3.75
1.35 0.56 3.88
