onDraw Prepare Execute
4.19 1.63 5.64
4.84 0.58 7.49
4.75 0.78 11.51
4.23 0.66 7.56
4.14 0.86 6.19
4.82 0.71 10.75
12.25 0.78 7.23
10.43 0.65 4.96
5.59 2.73 6.66
9.34 0.54 4.80
5.34 0.68 5.51
6.31 0.71 5.78
8.63 0.77 5.80
8.45 1.02 5.08
6.33 0.68 5.22
6.97 0.69 5.23
7.85 0.68 4.84
6.11 0.96 5.79
6.14 0.60 5.21
8.20 0.73 6.65
8.95 0.68 5.86
4.47 0.67 4.62
6.61 0.70 7.75
8.53 0.86 9.17
7.71 0.95 6.82
9.13 0.58 4.72
5.82 0.64 5.98
6.23 1.03 4.75
8.89 0.92 5.61
5.41 1.16 6.29
7.21 0.74 9.12
8.98 0.71 6.96
6.95 0.75 6.64
6.80 0.68 4.91
6.56 0.71 4.98
7.21 1.42 6.14
6.96 0.75 5.55
7.74 0.81 5.90
6.30 0.71 5.70
6.36 0.70 7.94
7.31 0.72 5.31
5.14 1.14 6.80
5.03 0.69 4.96
5.49 1.21 6.00
6.15 0.74 5.61
5.79 0.78 6.58
3.68 3.39 5.12
6.45 0.66 4.62
5.98 0.82 5.38
6.42 1.31 4.93
7.03 0.70 5.17
8.13 0.78 6.01
6.69 0.68 5.30
5.84 0.66 6.20
6.06 0.73 6.81
8.32 0.81 6.54
7.89 0.81 5.56
7.33 0.72 6.63
8.19 0.65 5.23
5.46 0.94 5.35
5.09 0.66 4.55
5.03 0.67 5.47
8.11 0.75 7.19
6.73 0.77 7.96
7.00 0.69 5.03
11.03 0.75 5.24
5.72 0.79 4.80
3.99 0.56 5.27
5.77 0.59 7.46
6.53 0.86 7.36
7.20 0.75 5.83
5.82 0.73 6.99
18.57 0.38 2.84
6.14 0.24 2.38
1.19 0.38 3.54
1.80 0.21 3.69
1.34 0.25 3.27
1.12 0.20 3.37
1.39 0.25 5.99
1.45 0.31 6.06
1.72 0.25 3.98
1.56 0.23 3.50
1.73 0.21 4.04
1.72 0.30 4.94
1.90 2.52 3.66
1.46 0.46 5.99
1.48 0.24 4.92
1.39 0.22 4.29
4.02 0.27 3.78
1.40 3.48 2.87
1.36 0.22 4.20
2.13 0.29 4.18
2.12 0.38 3.90
1.70 0.28 4.55
1.60 0.22 4.05
1.39 0.21 3.78
1.29 0.25 4.81
1.45 0.39 4.15
2.12 0.51 8.65
2.98 0.51 6.64
2.50 0.51 5.78
2.21 0.55 7.06
1.79 0.68 5.73
2.05 0.52 4.60
1.68 0.88 6.20
1.67 0.58 6.51
1.45 0.48 6.76
9.99 0.96 8.05
13.58 0.44 5.30
3.70 0.23 1.58
3.86 0.29 1.98
4.29 0.43 2.08
4.16 0.29 3.08
4.12 0.34 3.14
4.27 0.34 3.01
4.66 0.32 3.83
4.34 0.30 6.93
6.55 0.56 4.72
8.34 0.60 4.47
7.33 0.71 4.30
6.54 0.59 4.55
6.07 0.51 5.30
3.64 0.49 4.23
3.42 0.58 4.36
3.45 0.46 6.32
3.87 0.45 5.89
2.99 0.43 4.34
3.16 0.81 8.38
2.90 0.45 4.37
3.66 0.46 4.02
3.13 0.63 4.44
3.25 0.60 4.55
3.30 0.48 4.65
3.06 0.79 4.42
4.44 0.54 5.91
3.10 0.66 4.67
3.78 0.49 5.00
3.27 0.81 4.34
3.13 0.74 7.92
3.07 0.46 3.82
3.58 0.47 3.64
3.16 0.65 4.83
4.12 0.46 3.96
3.66 0.46 3.51
3.55 0.58 3.49
3.47 0.48 3.57
3.94 0.87 3.63
4.05 0.47 5.32
5.20 0.48 3.81
2.99 0.45 3.40
3.27 0.57 6.58
4.19 0.46 3.72
3.60 0.44 3.80
3.03 0.48 3.53
3.99 0.64 3.44
3.18 0.46 4.55
3.82 0.45 4.05
3.60 0.46 3.34
3.61 0.46 3.41
3.19 0.64 4.46
3.09 1.10 3.38
3.28 0.45 3.62
3.18 0.45 4.02
3.09 0.68 3.68
3.59 0.61 5.11
5.97 0.95 5.82
4.80 0.80 5.24
8.96 0.82 5.30
5.32 0.79 5.32
6.75 0.80 4.83
5.79 1.07 6.56
7.07 0.98 5.17
4.68 0.61 3.76
6.35 0.89 4.81
8.97 0.78 5.01
9.54 1.49 4.93
5.77 0.77 5.12
5.67 0.72 4.66
7.14 0.96 5.77
10.93 0.80 6.01
7.32 0.71 4.57
6.43 0.84 4.85
7.30 0.78 5.35
5.92 0.68 4.08
6.36 0.75 4.29
6.76 1.49 4.97
9.21 1.11 5.91
7.30 0.82 4.67
5.15 1.44 4.96
8.21 0.97 5.35
8.03 0.84 5.16
6.50 0.88 5.30
11.12 0.67 4.43
2.22 0.56 5.25
1.46 0.28 5.54
1.36 0.35 3.48
1.26 0.22 3.22
1.64 0.27 3.73
1.40 0.28 4.31
1.71 0.27 4.34
1.50 0.28 4.54
1.52 0.28 4.20
