onDraw Prepare Execute
1.25 0.24 4.33
1.24 0.25 4.17
1.32 0.25 4.35
1.28 0.24 4.57
1.35 0.24 4.56
1.26 0.24 4.06
1.35 0.25 4.53
1.28 0.25 4.24
1.29 0.24 4.11
1.20 0.24 4.36
1.36 0.25 4.39
1.33 0.24 4.69
2.81 0.25 2.26
1.32 0.27 6.40
1.34 0.24 5.29
1.23 0.25 4.44
1.22 0.24 4.38
1.19 0.34 4.13
1.15 0.24 4.38
1.16 0.24 4.05
1.17 0.24 4.03
1.18 0.25 4.52
1.19 0.24 4.27
1.20 0.24 4.00
1.43 0.24 5.04
1.25 0.24 4.53
1.27 0.25 4.25
1.21 0.24 4.31
1.10 0.23 4.30
1.15 0.23 4.22
1.10 0.23 4.32
1.77 0.26 3.40
1.22 0.23 4.31
1.18 0.24 4.37
1.14 0.24 4.38
1.17 0.24 4.11
1.15 0.24 6.72
1.14 0.25 5.73
1.26 0.25 3.76
1.30 0.67 3.50
1.36 0.21 4.43
3.44 0.25 3.19
1.69 0.27 4.00
1.09 0.21 5.14
1.27 0.24 8.74
38.99 0.72 10.11
45.49 0.36 2.96
15.76 0.22 6.03
3.62 0.23 14.81
0.98 0.20 14.67
1.08 0.20 16.73
1.50 0.85 4.97
1.39 0.22 4.26
1.34 0.21 3.87
1.33 1.28 3.76
1.64 3.88 3.51
1.49 0.35 4.20
1.59 0.29 7.42
1.49 0.28 6.55
1.71 0.29 3.93
1.59 0.27 4.55
1.48 0.26 3.56
4.23 0.52 3.78
3.72 0.47 3.82
4.26 0.67 4.82
3.89 0.78 3.83
2.35 0.76 2.14
1.99 0.77 4.65
1.70 0.26 3.55
1.41 0.26 4.64
1.40 0.42 3.98
1.64 0.26 3.27
1.11 0.56 4.31
4.87 1.96 19.56
3.38 1.44 9.15
2.68 0.79 26.44
4.66 1.13 21.72
8.76 3.51 8.67
17.94 1.26 15.36
2.37 0.57 15.09
3.44 2.02 12.00
2.98 0.55 11.84
1.77 0.68 9.24
1.85 0.90 5.26
2.45 0.69 6.97
2.75 0.74 7.53
5.07 0.56 8.07
6.80 0.53 5.18
4.88 0.61 4.43
5.55 1.31 3.87
6.14 0.57 3.94
5.98 0.55 4.61
5.87 0.60 3.61
4.42 0.52 3.84
5.35 0.56 3.67
5.55 0.58 6.26
5.18 0.72 5.13
4.87 0.52 4.28
6.29 0.55 4.85
5.24 0.89 4.20
3.62 0.53 5.42
1.04 0.47 5.84
2.90 0.56 4.61
2.19 0.64 6.14
2.38 0.89 9.57
1.77 0.71 6.64
2.40 0.72 9.43
2.55 0.70 8.62
2.26 4.43 6.44
2.50 0.55 6.93
2.65 0.68 7.54
3.23 0.73 5.69
4.09 0.65 8.31
2.52 0.58 9.15
2.65 0.97 7.76
2.61 0.70 8.85
1.84 0.59 7.39
2.05 0.54 9.52
2.66 0.54 8.32
2.52 2.08 5.30
26.92 0.78 4.36
3.21 0.71 6.30
8.57 0.28 5.58
4.85 0.41 20.71
5.79 0.26 13.93
4.66 0.24 16.92
4.09 0.27 3.95
