onDraw Prepare Execute
3.37 0.55 3.89
2.24 0.63 4.56
2.71 0.56 3.95
2.20 0.68 4.20
2.59 0.54 3.99
2.27 0.55 4.03
2.21 1.29 4.79
2.20 0.57 3.80
2.42 0.53 4.05
2.10 0.52 4.16
2.07 0.51 4.73
2.34 0.52 4.55
2.17 0.53 4.70
2.16 0.60 4.90
2.29 0.57 4.06
2.30 0.63 4.40
2.08 0.51 4.22
2.31 0.54 3.86
2.74 0.66 3.74
2.39 0.76 4.62
2.33 0.55 4.69
2.09 0.66 3.76
2.81 0.32 2.53
7.60 0.58 3.84
2.36 0.49 4.21
3.67 0.50 3.76
7.54 0.49 1.94
3.26 0.27 1.88
2.42 0.33 1.74
2.35 0.29 1.95
5.83 0.28 1.79
2.30 0.30 1.76
2.21 0.28 1.70
2.37 0.28 1.98
2.44 0.28 1.69
4.49 0.27 1.70
4.12 0.53 3.95
3.79 0.53 4.25
2.75 0.59 4.37
2.77 0.59 3.58
4.52 0.51 3.59
4.05 0.62 4.43
3.94 1.37 5.21
4.02 0.56 5.16
5.49 0.31 2.34
3.70 0.27 1.79
3.92 0.28 1.70
3.67 0.27 1.70
3.91 0.31 1.72
4.02 0.29 1.87
3.71 0.29 2.08
4.06 0.29 1.69
4.50 0.53 4.12
3.53 0.53 3.95
4.51 0.54 4.32
3.68 0.69 3.70
5.28 0.54 3.55
4.31 0.84 4.03
3.85 0.51 3.69
3.91 0.52 3.64
3.80 0.84 3.93
3.74 0.52 5.43
4.38 0.28 1.72
5.02 0.53 3.72
4.80 0.54 3.94
3.90 0.53 3.57
4.84 0.28 1.71
4.29 0.27 1.80
3.74 0.54 3.76
4.40 0.54 3.68
3.70 0.56 3.66
3.81 1.18 3.89
4.20 0.53 3.48
3.84 0.52 3.53
3.67 1.12 3.60
4.17 0.55 3.61
3.51 0.51 3.43
3.97 0.53 3.47
3.62 0.89 3.71
3.76 0.84 4.10
4.04 0.27 1.68
3.93 0.27 1.64
3.70 0.85 3.97
4.17 0.55 3.47
4.03 0.51 3.48
4.37 0.67 3.59
3.60 0.52 3.86
3.78 0.81 3.55
4.25 0.83 3.70
3.82 0.53 3.68
3.55 0.52 3.49
4.39 0.85 3.73
3.56 1.05 3.79
3.50 1.69 4.30
3.51 0.52 3.93
4.05 0.29 1.66
4.32 0.60 3.51
3.60 0.51 3.82
3.95 0.52 3.58
3.88 0.60 3.74
3.70 0.55 3.98
3.59 0.86 3.41
3.91 0.28 1.58
4.02 0.68 3.44
3.75 0.53 3.74
3.51 0.52 3.40
4.03 0.85 3.46
4.39 0.66 3.97
3.99 0.54 4.33
5.33 1.75 6.62
12.08 0.48 4.50
2.00 0.30 4.35
1.24 0.22 4.17
1.17 0.20 5.07
1.18 0.22 4.08
1.15 0.21 3.53
1.38 0.26 4.35
1.67 0.25 4.69
1.36 0.26 4.26
1.37 0.35 4.39
2.77 3.05 2.49
2.65 0.28 2.65
2.41 0.27 2.90
2.50 0.43 2.62
3.98 0.63 4.26
3.72 0.47 4.22
4.09 0.54 4.25
4.96 0.49 3.85
1.82 0.42 9.46
1.44 0.56 4.67
1.46 0.42 5.75
1.42 0.43 4.05
1.77 0.51 5.87
1.60 0.41 5.52
1.84 0.42 5.61
1.35 0.41 5.97
1.56 0.51 4.81
1.38 0.43 6.09
5.68 0.52 8.10
2.56 0.70 7.64
2.56 0.75 9.66
7.21 0.43 6.07
3.10 0.47 12.35
2.51 0.51 30.40
2.50 0.51 12.86
9.05 0.49 10.61
3.36 0.44 5.35
28.28 0.97 2.72
17.24 0.30 6.21
4.45 0.27 11.45
3.41 0.84 16.44
7.89 0.34 15.18
4.15 0.31 16.58
4.16 0.34 15.56
4.57 1.67 14.90
4.24 0.34 14.36
4.62 0.34 16.55
4.44 0.32 14.81
4.05 0.46 15.92
4.22 0.33 15.76
3.69 0.30 18.17
2.57 0.58 14.46
3.58 0.67 15.38
3.91 0.48 15.16
3.53 0.52 15.22
4.03 0.47 15.54
3.55 0.62 14.11
3.52 0.52 16.18
3.33 0.49 14.20
3.33 0.53 15.43
3.61 0.62 15.07
3.30 0.46 14.71
3.38 0.46 15.98
3.33 0.60 13.98
2.94 0.47 4.40
3.22 0.48 4.40
3.44 0.49 3.70
2.97 0.47 4.38
3.04 0.49 4.50
3.21 0.50 4.28
3.10 0.71 4.79
3.22 0.50 4.22
3.25 0.51 5.07
4.60 0.50 7.95
3.65 0.50 3.73
3.17 0.48 5.06
3.01 0.65 4.53
3.38 0.49 4.32
3.25 0.48 3.75
3.25 0.66 5.12
3.47 0.52 3.92
3.21 0.49 3.67
3.44 0.68 4.03
3.03 0.66 3.91
3.19 0.49 3.91
3.56 0.56 4.63
3.14 0.68 4.64
3.27 0.47 3.82
3.78 0.51 4.73
3.24 0.68 5.44
2.92 0.47 4.45
3.48 0.49 3.66
3.27 0.86 3.82
8.92 0.80 6.62
5.26 1.11 6.14
6.52 0.80 5.90
5.33 0.85 6.50
6.09 0.72 4.91
6.61 0.82 5.13
7.07 1.11 5.73
