onDraw Prepare Execute
6.12 1.39 5.49
5.29 0.76 6.81
6.58 0.79 5.55
7.03 0.86 6.53
7.06 1.09 4.57
3.92 0.59 8.40
4.94 0.87 8.74
5.49 0.63 6.96
5.09 0.61 4.59
5.81 1.54 7.42
7.61 0.80 5.74
5.04 1.11 4.87
7.27 0.73 5.39
7.77 0.62 6.00
5.37 0.73 5.00
6.31 1.20 5.32
9.21 1.36 6.00
8.62 0.77 6.15
6.37 0.87 5.89
7.24 0.84 6.00
11.81 0.53 4.27
1.46 0.24 5.63
1.45 0.24 3.93
1.57 0.28 3.72
1.39 0.35 3.29
1.19 0.20 3.84
1.20 0.26 4.11
1.39 0.25 4.19
1.41 0.25 4.23
1.26 0.22 5.57
1.23 0.26 5.67
1.46 0.25 6.56
1.22 0.25 5.50
1.32 0.20 4.81
1.53 3.18 3.12
1.73 0.67 4.78
1.80 1.74 3.99
1.59 1.85 3.47
1.50 0.42 4.13
1.60 2.13 2.72
1.36 0.25 4.18
1.58 0.25 6.83
1.63 0.26 5.30
1.44 0.26 4.46
1.55 0.37 4.31
1.64 0.39 4.37
1.51 0.32 4.00
2.37 0.49 5.13
2.03 0.71 4.94
1.91 0.52 4.90
2.21 0.51 6.03
2.29 0.73 4.89
2.02 0.61 5.26
1.55 0.45 6.47
2.83 0.39 2.38
1.10 0.23 4.61
0.81 0.36 4.72
5.39 0.97 6.94
36.30 1.66 5.02
25.07 0.98 4.24
5.13 0.30 2.60
3.80 0.75 2.36
6.29 1.34 3.41
3.68 0.27 6.57
4.92 0.76 3.20
4.22 1.78 2.48
4.54 0.37 2.48
4.55 0.34 2.42
4.48 0.34 2.62
4.56 0.74 5.39
6.39 0.87 4.99
3.49 0.59 4.72
4.31 0.58 4.79
3.88 0.57 7.64
3.86 0.59 4.31
4.30 0.72 6.72
5.59 0.56 4.65
4.15 0.56 4.34
3.72 0.61 4.29
3.92 0.57 5.31
3.83 0.56 4.28
4.89 0.85 4.71
5.28 0.59 4.58
3.46 0.54 4.31
3.51 0.55 4.18
3.38 0.56 4.72
3.48 0.55 4.91
4.07 0.56 4.29
3.42 0.56 5.09
3.74 0.56 4.34
4.42 0.56 4.38
3.80 0.54 4.30
3.88 0.58 4.70
3.54 0.54 4.41
3.25 0.74 6.58
3.35 0.57 7.34
3.40 0.78 4.46
4.10 0.54 4.82
3.24 0.72 4.61
3.78 0.55 4.42
3.72 0.72 5.85
3.65 0.54 4.83
3.45 0.55 4.87
3.65 0.54 4.75
3.53 0.54 5.29
3.44 0.53 4.32
3.76 0.53 4.21
4.46 0.56 4.36
3.47 0.75 4.87
3.11 0.63 4.95
3.67 0.56 5.56
3.48 0.53 4.72
3.40 0.75 5.23
3.22 0.55 5.57
7.53 0.73 7.57
5.05 0.84 15.11
6.29 0.65 5.00
5.51 1.24 7.93
5.65 1.11 5.42
4.66 0.65 5.64
6.71 1.00 7.45
5.67 1.28 7.21
6.07 0.84 5.12
7.25 1.06 5.56
8.97 1.08 5.72
6.85 0.82 6.15
5.62 1.08 5.72
5.31 0.84 6.45
6.82 0.83 6.64
6.21 0.82 5.41
4.56 0.80 5.43
6.78 0.84 6.92
7.57 0.87 7.52
9.64 0.94 7.69
5.45 2.34 6.85
5.85 0.98 7.28
9.19 0.78 7.90
6.77 0.98 6.12
4.83 0.66 6.29
5.52 0.83 6.89
7.50 1.06 5.64
15.63 0.44 3.46
1.47 0.29 5.33
1.34 0.22 4.33
1.34 0.33 4.20
1.35 0.25 2.24
1.14 0.37 4.42
1.35 0.26 4.42
1.39 0.26 4.19
1.88 0.56 6.50
