onDraw Prepare Execute
3.58 0.44 4.73
3.84 0.59 5.01
3.30 0.42 4.46
3.07 0.42 5.30
3.65 0.43 4.31
3.86 0.42 4.73
3.15 0.45 4.05
3.21 0.43 5.80
3.01 0.58 5.08
3.80 0.47 4.08
3.51 0.50 4.98
3.14 0.45 4.21
3.23 0.45 4.51
3.22 0.47 4.55
5.41 0.69 4.34
3.28 0.64 5.08
3.08 0.47 4.51
3.45 0.46 4.91
3.02 0.47 5.40
3.83 0.46 4.83
3.29 0.64 4.96
3.16 0.49 4.55
3.55 0.48 4.32
3.23 0.66 4.57
3.69 0.46 4.45
3.24 0.64 4.80
3.26 0.66 5.37
3.06 0.43 4.18
3.53 0.48 4.44
6.64 0.70 5.26
6.30 0.68 6.56
6.91 0.74 6.54
6.24 0.81 7.62
6.31 0.73 5.54
6.85 0.74 6.12
8.69 0.76 7.09
4.34 0.81 5.47
3.96 0.56 5.71
5.73 1.06 5.43
6.65 0.73 5.32
5.14 1.06 5.52
7.07 0.76 7.19
6.70 0.90 7.11
5.38 0.76 6.45
5.29 0.70 5.62
8.87 0.81 6.08
7.64 0.78 6.24
6.50 1.16 6.75
4.80 0.72 6.91
6.81 0.70 6.92
6.28 0.76 5.59
4.25 0.56 5.32
7.38 0.78 6.64
6.97 1.90 5.99
5.54 0.79 5.83
13.98 0.42 2.94
1.64 0.27 4.41
1.60 0.44 3.83
1.34 0.43 5.76
1.31 0.22 3.84
1.18 0.39 4.58
1.34 0.26 4.53
1.47 0.26 4.22
1.44 0.27 4.27
1.26 0.71 4.37
